#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
0.0,6,5.853929
-1.0,1,5.853929
2.2,7,5.853929
-0.2,5,5.861998
-1.0,1,5.861998
-1.0,1,5.861998
-1.3,3,5.861998
-1.0,1,5.861998
1.4,5,5.861998
0.5,6,5.878047
1.6,6,5.878047
-2.6,5,5.878047
0.1,2,5.878047
2.8,10,5.893798
0.4,4,5.893798
1.6,14,5.909495
0.4,10,5.925247
-0.8,6,5.925247
1.2,4,5.925247
1.4,7,5.940767
-1.0,3,5.940767
2.0,4,5.948953
0.4,4,5.948953
-2.6,7,5.957017
1.3,2,5.957017
1.3,2,5.957017
1.4,5,5.957017
2.0,8,5.980984
0.5,2,5.980984
0.5,2,5.980984
-0.6,7,6.001494
0.1,2,6.001494
-0.6,3,6.008459
0.1,2,6.010535
5.0,13,6.025028
0.0,6,6.030907
-1.0,1,6.032919
1.3,2,6.036944
-1.4,9,6.05091
3.8,9,6.078141
3.7,16,6.095911
0.8,10,6.112212
-0.8,4,6.117498
1.8,7,6.117498
2.2,9,6.135843
-1.5,4,6.143354
1.3,2,6.143354
0.2,3,6.143354
1.2,4,6.152384
3.2,14,6.164449
0.5,2,6.168409
0.5,2,6.171031
-1.0,1,6.171031
3.2,16,6.182104
-1.0,1,6.182104
-1.0,1,6.182104
0.1,2,6.189103
-1.3,3,6.189103
3.2,14,8.595451
-0.8,6,8.605359
3.4,11,8.605359
0.2,3,8.617752
3.8,17,8.62638
2.2,5,8.637032
0.4,8,8.637032
1.8,7,8.657578
9.6,34,8.690656
11.2,25,8.72548
10.3,25,8.759859
1.2,6,8.763816
-1.0,7,8.774274
3.2,14,8.774274
1.3,2,8.774274
0.7,5,8.789552
6.1,18,8.811213
0.7,7,8.815912
5.2,14,8.830837
10.1,20,8.857764
1.3,2,8.85978
1.2,12,8.865015
3.4,9,8.878346
-1.2,4,8.881321
-0.7,8,8.8898
2.8,10,8.895112
1.3,2,8.895112
0.1,2,8.895112
0.4,4,8.905843
3.4,9,8.912309
0.2,3,8.912309
8.5,28,8.937849
-1.0,1,8.937849
1.3,2,8.937849
0.1,16,8.953654
0.2,3,8.953654
-1.0,3,8.961689
-1.0,1,8.961689
0.5,2,8.961689
1.4,7,8.969624
1.3,2,8.969624
-1.0,1,8.973743
-1.4,5,8.977977
2.8,14,8.981496
11.7,24,9.009645
1.8,9,9.009645
9.2,18,9.027972
10.8,26,9.057251
2.0,6,9.061731
-1.0,1,9.063747
2.0,10,9.073983
-1.0,1,9.074509
0.5,2,9.076287
